distance,cash_fare_per_ride,adult_card_fare_per_ride,senior_citizen_card_fare_per_ride,student_card_fare_per_ride,workfare_transport_concession_card_fare_per_ride,persons_with_disabilities_card_fare_per_ride
19.5,310,247,137,93,194,137
19.6,310,247,137,93,194,137
19.7,310,247,137,93,194,137
19.8,310,247,137,93,194,137
19.9,310,247,137,93,194,137
20.0,310,247,137,93,194,137
20.1,310,247,137,93,194,137
20.2,310,247,137,93,194,137
20.3,310,250,137,93,197,137
20.4,310,250,137,93,197,137
20.5,310,250,137,93,197,137
20.6,310,250,137,93,197,137
20.7,310,250,137,93,197,137
20.8,310,250,137,93,197,137
20.9,310,250,137,93,197,137
21.0,310,250,137,93,197,137
21.1,310,250,137,93,197,137
21.2,310,250,137,93,197,137
21.3,310,253,137,93,200,137
21.4,310,253,137,93,200,137
21.5,310,253,137,93,200,137
21.6,310,253,137,93,200,137
21.7,310,253,137,93,200,137
21.8,310,253,137,93,200,137
21.9,310,253,137,93,200,137
22.0,310,253,137,93,200,137
22.1,310,253,137,93,200,137
22.2,310,253,137,93,200,137
22.3,310,256,137,93,203,137
22.4,310,256,137,93,203,137
22.5,310,256,137,93,203,137
22.6,310,256,137,93,203,137
22.7,310,256,137,93,203,137
22.8,310,256,137,93,203,137
22.9,310,256,137,93,203,137
23.0,310,256,137,93,203,137
23.1,310,256,137,93,203,137
23.2,310,256,137,93,203,137
23.3,330,258,137,93,205,137
23.4,330,258,137,93,205,137
23.5,330,258,137,93,205,137
23.6,330,258,137,93,205,137
23.7,330,258,137,93,205,137
23.8,330,258,137,93,205,137
23.9,330,258,137,93,205,137
24.0,330,258,137,93,205,137
24.1,330,258,137,93,205,137
24.2,330,258,137,93,205,137
24.3,330,260,137,93,206,137
24.4,330,260,137,93,206,137
24.5,330,260,137,93,206,137
24.6,330,260,137,93,206,137
24.7,330,260,137,93,206,137
24.8,330,260,137,93,206,137
24.9,330,260,137,93,206,137
25.0,330,260,137,93,206,137
25.1,330,260,137,93,206,137
25.2,330,260,137,93,206,137
25.3,330,262,137,93,207,137
25.4,330,262,137,93,207,137
25.5,330,262,137,93,207,137
25.6,330,262,137,93,207,137
25.7,330,262,137,93,207,137
25.8,330,262,137,93,207,137
25.9,330,262,137,93,207,137
26.0,330,262,137,93,207,137
26.1,330,262,137,93,207,137
26.2,330,262,137,93,207,137
26.3,330,263,137,93,208,137
26.4,330,263,137,93,208,137
26.5,330,263,137,93,208,137
26.6,330,263,137,93,208,137
26.7,330,263,137,93,208,137
26.8,330,263,137,93,208,137
26.9,330,263,137,93,208,137
27.0,330,263,137,93,208,137
27.1,330,263,137,93,208,137
27.2,330,263,137,93,208,137
27.3,330,264,137,93,209,137
27.4,330,264,137,93,209,137
27.5,330,264,137,93,209,137
27.6,330,264,137,93,209,137
27.7,330,264,137,93,209,137
27.8,330,264,137,93,209,137
27.9,330,264,137,93,209,137
28.0,330,264,137,93,209,137
28.1,330,264,137,93,209,137
28.2,330,264,137,93,209,137
28.3,330,265,137,93,210,137
28.4,330,265,137,93,210,137
28.5,330,265,137,93,210,137
28.6,330,265,137,93,210,137
28.7,330,265,137,93,210,137
28.8,330,265,137,93,210,137
28.9,330,265,137,93,210,137
29.0,330,265,137,93,210,137
29.1,330,265,137,93,210,137
29.2,330,265,137,93,210,137
29.3,330,266,137,93,211,137
29.4,330,266,137,93,211,137
29.5,330,266,137,93,211,137
29.6,330,266,137,93,211,137
29.7,330,266,137,93,211,137
29.8,330,266,137,93,211,137
29.9,330,266,137,93,211,137
30.0,330,266,137,93,211,137
30.1,330,266,137,93,211,137
30.2,330,266,137,93,211,137
30.3,330,267,137,93,212,137
30.4,330,267,137,93,212,137
30.5,330,267,137,93,212,137
30.6,330,267,137,93,212,137
30.7,330,267,137,93,212,137
30.8,330,267,137,93,212,137
30.9,330,267,137,93,212,137
31.0,330,267,137,93,212,137
31.1,330,267,137,93,212,137
31.2,330,267,137,93,212,137
31.3,330,268,137,93,213,137
31.4,330,268,137,93,213,137
31.5,330,268,137,93,213,137
31.6,330,268,137,93,213,137
31.7,330,268,137,93,213,137
31.8,330,268,137,93,213,137
31.9,330,268,137,93,213,137
32.0,330,268,137,93,213,137
32.1,330,268,137,93,213,137
32.2,330,268,137,93,213,137
32.3,330,269,137,93,214,137
32.4,330,269,137,93,214,137
32.5,330,269,137,93,214,137
32.6,330,269,137,93,214,137
32.7,330,269,137,93,214,137
32.8,330,269,137,93,214,137
32.9,330,269,137,93,214,137
33.0,330,269,137,93,214,137
33.1,330,269,137,93,214,137
33.2,330,269,137,93,214,137
33.3,330,270,137,93,215,137
33.4,330,270,137,93,215,137
33.5,330,270,137,93,215,137
33.6,330,270,137,93,215,137
33.7,330,270,137,93,215,137
33.8,330,270,137,93,215,137
33.9,330,270,137,93,215,137
34.0,330,270,137,93,215,137
34.1,330,270,137,93,215,137
34.2,330,270,137,93,215,137
34.3,330,271,137,93,216,137
34.4,330,271,137,93,216,137
34.5,330,271,137,93,216,137
34.6,330,271,137,93,216,137
34.7,330,271,137,93,216,137
34.8,330,271,137,93,216,137
34.9,330,271,137,93,216,137
35.0,330,271,137,93,216,137
35.1,330,271,137,93,216,137
35.2,330,271,137,93,216,137
35.3,330,272,137,93,217,137
35.4,330,272,137,93,217,137
35.5,330,272,137,93,217,137
35.6,330,272,137,93,217,137
35.7,330,272,137,93,217,137
35.8,330,272,137,93,217,137
35.9,330,272,137,93,217,137
36.0,330,272,137,93,217,137
36.1,330,272,137,93,217,137
36.2,330,272,137,93,217,137
36.3,330,273,137,93,218,137
36.4,330,273,137,93,218,137
36.5,330,273,137,93,218,137
36.6,330,273,137,93,218,137
36.7,330,273,137,93,218,137
36.8,330,273,137,93,218,137
36.9,330,273,137,93,218,137
37.0,330,273,137,93,218,137
37.1,330,273,137,93,218,137
37.2,330,273,137,93,218,137
37.3,330,274,137,93,219,137
37.4,330,274,137,93,219,137
37.5,330,274,137,93,219,137
37.6,330,274,137,93,219,137
37.7,330,274,137,93,219,137
37.8,330,274,137,93,219,137
37.9,330,274,137,93,219,137
38.0,330,274,137,93,219,137
38.1,330,274,137,93,219,137
38.2,330,274,137,93,219,137
38.3,330,275,137,93,220,137
38.4,330,275,137,93,220,137
38.5,330,275,137,93,220,137
38.6,330,275,137,93,220,137
38.7,330,275,137,93,220,137
38.8,330,275,137,93,220,137
38.9,330,275,137,93,220,137
39.0,330,275,137,93,220,137
39.1,330,275,137,93,220,137
39.2,330,275,137,93,220,137
39.3,330,276,137,93,221,137
39.4,330,276,137,93,221,137
39.5,330,276,137,93,221,137
39.6,330,276,137,93,221,137
39.7,330,276,137,93,221,137
39.8,330,276,137,93,221,137
39.9,330,276,137,93,221,137
40.0,330,276,137,93,221,137
40.1,330,276,137,93,221,137
40.2,330,276,137,93,221,137

40.3,330,276,137,93,221,137
40.4,330,276,137,93,221,137
40.5,330,276,137,93,221,137
40.6,330,276,137,93,221,137
40.7,330,276,137,93,221,137
40.8,330,276,137,93,221,137
40.9,330,276,137,93,221,137
41.0,330,276,137,93,221,137
41.1,330,276,137,93,221,137
41.2,330,276,137,93,221,137
41.3,330,276,137,93,221,137
41.4,330,276,137,93,221,137
41.5,330,276,137,93,221,137
41.6,330,276,137,93,221,137
41.7,330,276,137,93,221,137
41.8,330,276,137,93,221,137
41.9,330,276,137,93,221,137
42.0,330,276,137,93,221,137
42.1,330,276,137,93,221,137
42.2,330,276,137,93,221,137
42.3,330,276,137,93,221,137
42.4,330,276,137,93,221,137
42.5,330,276,137,93,221,137
42.6,330,276,137,93,221,137
42.7,330,276,137,93,221,137
42.8,330,276,137,93,221,137
42.9,330,276,137,93,221,137
43.0,330,276,137,93,221,137
43.1,330,276,137,93,221,137
43.2,330,276,137,93,221,137
43.3,330,276,137,93,221,137
43.4,330,276,137,93,221,137
43.5,330,276,137,93,221,137
43.6,330,276,137,93,221,137
43.7,330,276,137,93,221,137
43.8,330,276,137,93,221,137
43.9,330,276,137,93,221,137
44.0,330,276,137,93,221,137
44.1,330,276,137,93,221,137
44.2,330,276,137,93,221,137
44.3,330,276,137,93,221,137
